,Product Name,Description,Price
60,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/586"" title=""Lenovo Legion Y520-15IKBM"">Lenovo Legion Y5...</a>","<p class=""description"">Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home</p>","<h4 class=""pull-right price"">$1112.91</h4>"
61,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/587"" title=""Toshiba Portege Z30-C-16J Grey"">Toshiba Portege...</a>","<p class=""description"">Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1114.55</h4>"
62,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/588"" title=""Acer Predator Helios 300 (PH317-51)"">Acer Predator He...</a>","<p class=""description"">Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1123.87</h4>"
63,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/589"" title=""Acer Aspire 7 A715-71G"">Acer Aspire 7 A7...</a>","<p class=""description"">Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1123.87</h4>"
64,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/590"" title=""Dell Inspiron 17 2in1 (7779) Silver"">Dell Inspiron 17...</a>","<p class=""description"">Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1124.20</h4>"
65,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/591"" title=""Dell Latitude 5480"">Dell Latitude 54...</a>","<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1133.82</h4>"
66,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/592"" title=""Lenovo Legion Y520"">Lenovo Legion Y5...</a>","<p class=""description"">Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1133.91</h4>"
67,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/593"" title=""Asus AsusPro Advanced BU401LA-FA271G Dark Grey"">Asus AsusPro Adv...</a>","<p class=""description"">Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG</p>","<h4 class=""pull-right price"">$1139.54</h4>"
68,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/594"" title=""Acer Nitro 5 AN515-51"">Acer Nitro 5 AN5...</a>","<p class=""description"">Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home</p>","<h4 class=""pull-right price"">$1140.62</h4>"
69,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/595"" title=""Dell Latitude 5480"">Dell Latitude 54...</a>","<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1143.40</h4>"
70,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/596"" title=""Dell Inspiron 15 (7567) Black"">Dell Inspiron 15...</a>","<p class=""description"">Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home</p>","<h4 class=""pull-right price"">$1144.20</h4>"
71,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/597"" title=""Dell Latitude 5580"">Dell Latitude 55...</a>","<p class=""description"">Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1144.40</h4>"
72,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/540"" title=""Lenovo Legion Y520-15IKBM"">Lenovo Legion Y5...</a>","<p class=""description"">Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS</p>","<h4 class=""pull-right price"">$1149.00</h4>"
73,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/598"" title=""MSI GP62M 7RDX Leopard"">MSI GP62M 7RDX L...</a>","<p class=""description"">MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1149.00</h4>"
74,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/599"" title=""Lenovo Yoga 720 Grey"">Lenovo Yoga 720...</a>","<p class=""description"">Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1149.73</h4>"
75,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/600"" title=""Toshiba Portege Z30-C-16L Grey"">Toshiba Portege...</a>","<p class=""description"">Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1154.04</h4>"
76,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/601"" title=""Acer TravelMate P645-S-511A Black"">Acer TravelMate...</a>","<p class=""description"">Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1170.10</h4>"
77,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/602"" title=""Dell Latitude 5580"">Dell Latitude 55...</a>","<p class=""description"">Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home</p>","<h4 class=""pull-right price"">$1178.19</h4>"
78,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/518"" title=""ThinkPad T540p"">ThinkPad T540p</a>","<p class=""description"">15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit</p>","<h4 class=""pull-right price"">$1178.99</h4>"
79,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/603"" title=""MSI GS63 7RD Stealth"">MSI GS63 7RD Ste...</a>","<p class=""description"">MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home</p>","<h4 class=""pull-right price"">$1179.00</h4>"
80,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/604"" title=""Dell Latitude 5480"">Dell Latitude 54...</a>","<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1187.88</h4>"
81,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/605"" title=""Acer Predator Helios 300 (PH317-51)"">Acer Predator He...</a>","<p class=""description"">Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home</p>","<h4 class=""pull-right price"">$1187.98</h4>"
82,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/606"" title=""MSI GL62M 7REX"">MSI GL62M 7REX</a>","<p class=""description"">MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1199.00</h4>"
83,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/607"" title=""MSI GL62M 7REX2"">MSI GL62M 7REX2</a>","<p class=""description"">MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1199.00</h4>"
84,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/608"" title=""Lenovo Yoga 910 Grey"">Lenovo Yoga 910...</a>","<p class=""description"">Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home</p>","<h4 class=""pull-right price"">$1199.73</h4>"
85,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/609"" title=""Toshiba Portege X30-D-10J Black/Blue"">Toshiba Portege...</a>","<p class=""description"">Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1203.41</h4>"
86,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/610"" title=""Lenovo IdeaPad Miix 510 Platinum Silver"">Lenovo IdeaPad M...</a>","<p class=""description"">Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1212.16</h4>"
87,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/611"" title=""Acer Predator Helios 300 (PH317-51)"">Acer Predator He...</a>","<p class=""description"">Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1221.58</h4>"
88,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/528"" title=""ThinkPad Yoga"">ThinkPad Yoga</a>","<p class=""description"">12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows</p>","<h4 class=""pull-right price"">$1223.99</h4>"
89,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/612"" title=""Asus VivoBook Pro 15 N580VN-FI006T Gold Metal"">Asus VivoBook Pr...</a>","<p class=""description"">Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd</p>","<h4 class=""pull-right price"">$1235.49</h4>"
90,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/613"" title=""Dell Latitude 5480"">Dell Latitude 54...</a>","<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux</p>","<h4 class=""pull-right price"">$1238.37</h4>"
91,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/614"" title=""Asus ZenBook UX530UX-FY040T Blue"">Asus ZenBook UX5...</a>","<p class=""description"">Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd</p>","<h4 class=""pull-right price"">$1239.20</h4>"
92,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/526"" title=""ThinkPad X230"">ThinkPad X230</a>","<p class=""description"">12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit</p>","<h4 class=""pull-right price"">$1244.99</h4>"
93,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/615"" title=""Asus ROG Strix GL753VE-GC096T"">Asus ROG Strix G...</a>","<p class=""description"">Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd</p>","<h4 class=""pull-right price"">$1259.00</h4>"
94,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/616"" title='Apple MacBook Air 13""'>Apple MacBook Ai...</a>","<p class=""description"">Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG</p>","<h4 class=""pull-right price"">$1260.13</h4>"
95,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/617"" title=""Dell Latitude 5480"">Dell Latitude 54...</a>","<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1271.06</h4>"
96,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/618"" title=""Hewlett Packard Spectre 13-v106na Dark Ash Silver"">Hewlett Packard...</a>","<p class=""description"">Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home</p>","<h4 class=""pull-right price"">$1273.11</h4>"
97,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/525"" title=""Dell XPS 13"">Dell XPS 13</a>","<p class=""description"">13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1</p>","<h4 class=""pull-right price"">$1281.99</h4>"
98,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/619"" title=""Toshiba Portege Z30-C-16K Grey"">Toshiba Portege...</a>","<p class=""description"">Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1294.74</h4>"
99,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/620"" title=""MSI GL62VR 7RFX"">MSI GL62VR 7RFX</a>","<p class=""description"">MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1299.00</h4>"
100,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/621"" title=""Dell Latitude 5480"">Dell Latitude 54...</a>","<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1310.39</h4>"
101,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/520"" title=""ThinkPad X240"">ThinkPad X240</a>","<p class=""description"">12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit</p>","<h4 class=""pull-right price"">$1311.99</h4>"
102,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/622"" title=""Hewlett Packard ProBook 640 G3"">Hewlett Packard...</a>","<p class=""description"">Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1326.83</h4>"
103,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/623"" title='Apple MacBook Pro 13"" Space Gray'>Apple MacBook Pr...</a>","<p class=""description"">Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG</p>","<h4 class=""pull-right price"">$1333.00</h4>"
104,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/624"" title=""Dell Latitude 5580"">Dell Latitude 55...</a>","<p class=""description"">Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1337.28</h4>"
105,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/625"" title=""Dell Latitude 5480"">Dell Latitude 54...</a>","<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home</p>","<h4 class=""pull-right price"">$1338.37</h4>"
106,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/626"" title=""Dell Latitude 5580"">Dell Latitude 55...</a>","<p class=""description"">Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux</p>","<h4 class=""pull-right price"">$1341.22</h4>"
107,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/627"" title='Apple MacBook Air 13""'>Apple MacBook Ai...</a>","<p class=""description"">Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS</p>","<h4 class=""pull-right price"">$1347.78</h4>"
108,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/628"" title=""Lenovo ThinkPad T470"">Lenovo ThinkPad...</a>","<p class=""description"">Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1349.23</h4>"
109,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/629"" title=""Lenovo ThinkPad Yoga 370 Black"">Lenovo ThinkPad...</a>","<p class=""description"">Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1362.24</h4>"
110,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/630"" title=""Toshiba Portege X20W-D-10V Black/Blue"">Toshiba Portege...</a>","<p class=""description"">Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1366.32</h4>"
111,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/631"" title=""Asus ASUSPRO B9440UA-GV0279R Gray"">Asus ASUSPRO B94...</a>","<p class=""description"">Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd</p>","<h4 class=""pull-right price"">$1381.13</h4>"
112,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/541"" title=""Lenovo Legion Y720"">Lenovo Legion Y7...</a>","<p class=""description"">Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard</p>","<h4 class=""pull-right price"">$1399.00</h4>"
113,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/632"" title=""Asus ROG Strix GL702VM-GC146T"">Asus ROG Strix G...</a>","<p class=""description"">Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd</p>","<h4 class=""pull-right price"">$1399.00</h4>"
114,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/542"" title=""Asus ROG Strix GL702ZC-GC154T"">Asus ROG Strix G...</a>","<p class=""description"">Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1769.00</h4>"
115,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/543"" title=""Asus ROG Strix GL702ZC-GC209T"">Asus ROG Strix G...</a>","<p class=""description"">Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1769.00</h4>"
116,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/544"" title=""Asus ROG Strix SCAR Edition GL503VM-ED115T"">Asus ROG Strix S...</a>","<p class=""description"">Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1799.00</h4>"
